"AC","Description","Fortitude","HP","Initiative","Other Abilities","Other Health","Reflex","Senses","Speed","Will","id","name"
"24","Medium elemental humanoid (fire) XP 700 ","21","151","+12","Greataxe (standard; at-will)  Fire , Weapon +13 vs. AC; 1d12 + 3 damage (crit 2d12 + 15) plus 1d10 fire damage. M Immolating Strike (standard; recharge    )  Fire , Weapon Requires greataxe; +13 vs. AC; 1d12 + 3 damage (crit 2d12 + 15) plus 1d10 fire damage, and ongoing 5 fire damage (save ends). Alignment Chaotic evil Languages Primordial Str 17 (+9) Dex 22 (+12) Wis 14 (+8) Con 21 (+11) Int 14 (+8) Cha 12 (+7) Equipment plate armor, greataxe","HP 151; Bloodied 75 ","22","Perception +13 Ember Cloud (Fire) aura 1; any creature that begins its turn in the aura takes 5 fire damage. ","8","18","10",""
"35","Medium elemental humanoid (fire) XP 2,400 ","33","182","+18","Scimitar (standard; at-will)  Fire , Weapon +25 vs. AC; 1d8 + 8 damage (crit 2d8 + 16) plus 1d8 fire damage, and the target is marked until the end of the blazesteel's next turn. C Wounded Fireburst (when first bloodied and again when the blazesteel is reduced to 0 hit points)  Fire Close burst 2; +21 vs. Reflex; 10 fire damage, and ongoing 5 fire damage (save ends). Combat Advantage  Fire The blazesteel makes a single extra scimitar attack and deals an extra 1d8 fire damage against any enemy it has combat advantage against. Alignment Chaotic evil Languages Primordial Str 26 (+17) Dex 24 (+16) Wis 16 (+12) Con 22 (+15) Int 14 (+11) Cha 15 (+11) Equipment plate armor, scimitar","HP 182; Bloodied 91; see also wounded fireburst ","32","Perception +12 ","8","28","11",""
"33","Medium elemental humanoid (fire) XP 2,800 ","33","150","+18","; see also flame stepFlaming Fist (standard; at-will)  Fire +20 vs. Reflex; 1d8 + 5 fire damage, and ongoing 5 fire damage (save ends). A Rain of Fire (standard; encounter)  Fire Area burst 1 within 10; +23 vs. Reflex; 2d8 + 8 fire damage, and ongoing 5 fire damage (save ends). Miss: Half damage, and no ongoing damage. C Flame Wave (standard; encounter)  Fire Close blast 5; +23 vs. Reflex; 2d8 + 8 fire damage, and the target is pushed 2 squares and takes ongoing 10 fire damage (save ends). C Cinder Burst (standard; encounter)  Fire Close burst 5; +23 vs. Fortitude; 2d8 + 8 fire damage, and the target is blinded (save ends). C Death Embers (when reduced to 0 hit points)  Fire As the effect of cinder burst. The ash disciple is consumed in the burst, leaving only its metallic robes behind. Flame Step (move; at-will)  Teleportation The ash disciple can teleport to within 3 squares of any fire creature within 20 squares of it. Alignment Chaotic evil Languages Primordial Str 20 (+15) Dex 27 (+18) Wis 16 (+13) Con 24 (+17) Int 14 (+12) Cha 15 (+12) Equipment scale armor (metal robes)","HP 150; Bloodied 75; see also death embers ","34","Perception +13 ","8","29","12",""
"30","Medium elemental humanoid (cold) XP 1,400 ","28","120","+11"," (ice walk)Slam (standard; at-will)  Cold +19 vs. AC; 1d6 + 4 cold damage. r Ice Shuriken (standard; at-will)  Cold Ranged 6/12; +21 vs. AC; 1d6 + 4 damage plus 1d6 cold damage. R Double Attack (standard; at-will)  Cold The ice archon hailscourge makes two ice shuriken attacks. A Hail Storm (standard; recharge   )  Cold Area burst 1, 2, 3, or 4 within 20; +21 vs. AC; 2d8 + 4 cold damage. Miss: Half damage. The ice archon hailscourge determines the exact burst radius of the hail storm. Frost Shield (immediate interrupt, when attacked by a ranged, a close, or an area attack; encounter)  Cold The ice archon hailscourge gains resist 20 to all damage against the triggering attack. Alignment Chaotic evil Languages Primordial Str 18 (+12) Dex 16 (+11) Wis 14 (+10) Con 18 (+12) Int 14 (+10) Cha 15 (+10) Equipment plate armor","HP 120; Bloodied 60 ","27","Perception +10 ","6","26","13",""
"35","Medium elemental humanoid (cold) XP 2,400 ","35","185","+15"," (ice walk)Maul (standard; at-will)  Cold , Weapon +25 vs. AC; 2d6 + 7 damage plus 1d6 cold damage, and the target is slowed (save ends). Against a slowed target, the rimehammer deals an extra 2d6 cold damage. Alignment Chaotic evil Languages Primordial Str 24 (+16) Dex 18 (+13) Wis 16 (+12) Con 25 (+16) Int 14 (+11) Cha 15 (+11) Equipment plate armor, maul","HP 185; Bloodied 92 ","32","Perception +12 Icy Ground (Cold) aura 1; enemies treat the area within the aura as difficult terrain. ","6","31","14",""
"34","Medium elemental humanoid (cold) XP 2,800 ","32","190","+14"," (ice walk)Ice Blade (standard; at-will)  Cold , Weapon +23 vs. AC; 2d6 + 8 cold damage. R Ice Javelin (standard; at-will)  Cold, Weapon Ranged 5; +23 vs. AC; 2d6 + 8 cold damage, plus the target is slowed until the end of the frostshaper's next turn. A Icy Burst (standard; recharges when the frostshaper hits with a melee attack)  Cold Area burst 1 within 5; +23 vs. AC; 3d8 + 8 cold damage, plus the target is slowed (save ends). Miss: Half damage, and the target is not slowed. Alignment Chaotic evil Languages Primordial Skills Intimidate +23 Str 26 (+18) Dex 19 (+14) Wis 18 (+14) Con 22 (+16) Int 14 (+12) Cha 27 (+18)","HP 190; Bloodied 95 ","28","Perception +14 Icy Aura (Cold) aura 5 (not active while bloodied); cold creatures in the aura gain regeneration 10. Enemies treat the area within the aura as difficult terrain. ","6","32","15",""
"31","Medium elemental humanoid (fire) XP 400 ","30","1","+11","Warhammer (standard; at-will)  Fire , Weapon +20 vs. AC; 7 fire damage, and ongoing 3 fire damage (save ends). Alignment Unaligned Languages Giant Str 21 (+13) Dex 17 (+11) Wis 18 (+12) Con 23 (+14) Int 11 (+8) Cha 16 (+11) Equipment chainmail, light shield, warhammer","HP 1; a missed attack never damages a minion. ","26","Perception +12 Warding Flame (Fire) Any enemy adjacent to two or more azers at the start of its turn takes 5 fire damage. ","5","27","16",""
"30","Medium elemental humanoid (fire) XP 1,000 ","28","141","+12","Warhammer (standard; at-will)  Fire , Weapon +20 vs. AC; 1d10 + 4 damage plus 1d8 fire damage, and the target is marked until the end of the azer foot soldier's next turn. Alignment Unaligned Languages Giant Str 19 (+11) Dex 16 (+10) Wis 18 (+11) Con 21 (+12) Int 11 (+7) Cha 15 (+9) Equipment scale armor, light shield, warhammer","HP 141; Bloodied 70 ","26","Perception +11 Warding Flame (Fire) Any enemy adjacent to two or more azers at the start of its turn takes 5 fire damage. ","5","27","17",""
"27","Medium elemental humanoid (fire) XP 1,200 ","28","181","+9","Spiked Gauntlet (standard; at-will)  Fire , Weapon +18 vs. AC; 1d6 + 6 damage, and ongoing 5 fire damage (save ends). C Chains of Flame (standard, usable only while bloodied; encounter)  Fire Close burst 5; +17 vs. Reflex; 3d8 + 5 fire damage. Enemies adjacent to an azer or with ongoing fire damage are immobilized until the end of the azer rager's next turn. Alignment Unaligned Languages Giant Str 22 (+13) Dex 15 (+9) Wis 14 (+9) Con 21 (+12) Int 11 (+7) Cha 15 (+9) Equipment scale armor, spiked gauntlets","HP 181; Bloodied 90 ","25","Perception +9 Warding Flame (Fire) Any enemy adjacent to two or more azers at the start of its turn takes 5 fire damage. ","6","24","18",""
"31","Medium elemental humanoid (fire) XP 1,600 ","28","165","+12","Scourge (standard; at-will)  Fire , Weapon +22 vs. AC; 1d6 + 5 damage plus 2d6 fire damage. Clinging Flames (immediate reaction, when an enemy within 5 squares of the azer taskmaster takes fire damage; at-will)  Fire The enemy takes ongoing 5 fire damage (save ends). Alignment Unaligned Languages Giant Str 20 (+13) Dex 18 (+12) Wis 22 (+14) Con 21 (+13) Int 14 (+10) Cha 16 (+11) Equipment chainmail, scourge","HP 165; Bloodied 82 ","27","Perception +14 Warding Flame (Fire) Any enemy adjacent to two or more azers at the start of its turn takes 5 fire damage. ","5","29","19",""
"32","Medium elemental humanoid (fire) XP 1,600 ","31","167","+13","Battleaxe (standard; at-will)  Fire , Weapon +22 vs. AC; 1d10 + 5 damage plus 1d8 fire damage, and the target is marked until the end of the azer beastlord's next turn. On My Command (standard; encounter) Each allied elemental beast within 5 squares of the azer beastlord makes a basic attack as a free action, provided the elemental beast is flanking an enemy and can both see and hear the azer beastlord. Spur the Beast (minor; at-will) One allied elemental beast within 5 squares of the azer beastlord recharges an encounter or daily power of the beastlord's choice. Alignment Unaligned Languages Giant Str 21 (+13) Dex 17 (+11) Wis 18 (+12) Con 23 (+14) Int 11 (+8) Cha 16 (+11) Equipment chainmail, light shield, battleaxe","HP 167; Bloodied 83 ","28","Perception +12 Warding Flame (Fire) Any enemy adjacent to two or more azers at the start of its turn takes 5 fire damage. ","5","29","20",""
"28","Large aberrant magical beast (blind) XP 1,600 ","27","216","+18",", climb 4 (spider climb); see also reality shift Action Points 1Tentacle (standard; at-will) Reach 3; +17 vs. AC; 1d8 + 9 damage. C Whipping Tentacles (standard; at-will) Close burst 3; targets enemies; +17 vs. AC; 1d8 + 9 damage, and the target slides to any other square of the balhannoth's choosing within the burst area. Combat Advantage The balhannoth deals an extra 2d8 damage against any target it has combat advantage against. Invisibility (minor; at-will)  Illusion The balhannoth can turn invisible until the end of its next turn. It turns visible if it takes a standard action. Reality Shift (move; at-will)  Teleportation The balhannoth can teleport 10 squares. Enemies adjacent to the balhannoth before it teleports are dazed until the end of its next turn. The balhannoth automatically gains combat advantage against creatures it teleports adjacent to. Alignment Chaotic evil Languages Deep Speech Skills Stealth +19 Str 29 (+15) Dex 27 (+14) Wis 20 (+11) Con 24 (+13) Int 3 (+2) Cha 8 (+5)","HP 216; Bloodied 108 ","26","Perception +16; blindsight 10 ","4","24","21",""
"26","Medium fey humanoid XP 700 ","22","121","+14","Slam (standard; at-will) +17 vs. AC; 1d8 + 4 damage. M Staggering Palm (standard; encounter; recharges after the use of mantid dance) +17 vs. AC; 2d8 + 4 damage, plus the target is stunned until the end of the banshrae warrior's next turn. R Blowgun Dart (standard; at-will)  Weapon Ranged 5/10; +17 vs. AC; 1d4 + 6 damage. Melee Agility (minor, usable immediately after hitting with a melee attack; at-will) The banshrae warrior shifts 1 square. Mantid Dance (move; recharge    ) Until the end of its next turn, the banshrae warrior gains a +2 bonus to all defenses and all noncritical ranged attacks automatically miss it. Skirmish +2d8 If, on its turn, the banshrae warrior ends its move at least 4 squares away from its starting point, it deals an extra 2d8 damage on its melee attacks until the start of its next turn. Alignment Unaligned Languages telepathy 20 Str 18 (+10) Dex 23 (+12) Wis 15 (+8) Con 17 (+9) Int 14 (+8) Cha 20 (+11) Equipment blowgun, darts","HP 121; Bloodied 60 ","24","Perception +8; low-light vision ","8","22","22",""
"27","Large natural beast (reptile) XP 500 ","25","87","+6","Bite (standard; at-will) +15 vs. AC; 1d8 + 4 damage. A Venomous Gaze (standard; at-will)  Gaze, Poison Area burst 1 within 10; +15 vs. Fortitude; 2d6 poison damage, and ongoing 5 poison damage (save ends). As long as the target is taking ongoing poison damage from this attack, the target deals 2 poison damage to all creatures adjacent to it at the start of its turn. Alignment Unaligned Languages -- Skills Stealth +11 Str 19 (+9) Dex 12 (+6) Wis 13 (+6) Con 21 (+10) Int 2 (+1) Cha 8 (+4)","HP 87; Bloodied 43 ","22","Perception +11 ","6","21","23",""
"28","Large natural beast (reptile) XP 700 ","26","126","+9","Bite (standard; at-will) +17 vs. AC; 2d8 + 5 damage. C Petrifying Gaze (standard; at-will)  Gaze Close blast 3; +17 vs. Fortitude; the target is slowed (save ends). First Failed Save: The target is immobilized (save ends). Second Failed Save: The target is petrified (no save). Alignment Unaligned Languages -- Skills Stealth +12 Str 20 (+11) Dex 12 (+7) Wis 14 (+8) Con 22 (+12) Int 2 (+2) Cha 8 (+5)","HP 126; Bloodied 63 ","22","Perception +13 Baleful Gaze Any creature within 5 squares of the stone-eye basilisk that attacks the basilisk is slowed until the end of its next turn. This effect doesn't rely on the target seeing the basilisk. ","4","22","24",""
"28","Large natural animate (plant) XP 1,000 ","28","141","+8","Claw (standard; at-will) Reach 2; +19 vs. AC; 1d8 + 6 damage, and the target is pulled 1 square. C Thorn Burst (standard; at-will) Close burst 2; +17 vs. Reflex; 2d8 + 1 damage, plus the target is slowed until the end of the warthorn battlebriar's next turn. Threatening Reach A warthorn battlebriar can make opportunity attacks against all enemies within its reach (2 squares). Alignment Unaligned Languages -- Str 23 (+13) Dex 13 (+8) Wis 15 (+9) Con 21 (+12) Int 3 (+3) Cha 12 (+8)","HP 141; Bloodied 70 ","23","Perception +9 Grasping Thorns aura 2; enemies treat the area within the aura as difficult terrain; at the start of the warthorn battlebriar's turn, enemies in the aura take 5 damage. ","6","24","25",""
"42","Huge elemental animate (plant) XP 26,000 ","44","634","+19",", burrow 6 Action Points 1Claw (standard; at-will) Reach 3; +32 vs. AC; 2d12 + 11 damage, and the target is slowed until the end of the earthrage battlebriar's next turn. M Trample (standard; at-will) The earthrage battlebriar can move up to its speed and enter enemies' spaces. This movement provokes opportunity attacks, and the battlebriar must end its move in an unoccupied space. When it enters an enemy's space, the battlebriar makes a trample attack: +30 vs. Reflex; 1d12 + 22 damage, and the target is knocked prone. Threatening Reach The earthrage battlebriar can make opportunity attacks against all enemies within its reach (3 squares). Alignment Unaligned Languages -- Str 32 (+25) Dex 20 (+19) Wis 17 (+17) Con 27 (+22) Int 3 (+10) Cha 16 (+17)","HP 634; Bloodied 317 ","38","Perception +17; tremorsense 5 Grasping Vines aura 3; at the start of the battlebriar's turn, enemies in the aura are pulled 1 square. ","8","36","26",""
"25","Large natural beast XP 1,200 ","25","276","+8"," Action Points 1Claw (standard; at-will) Reach 2; +15 vs. AC; 2d8 + 6 damage. M Maul (standard; at-will) The dire bear makes two claw attacks. If both claw attacks hit the same target, the dire bear makes a secondary attack against the target. Secondary Attack: +13 vs. AC; the target is grabbed (until escape). M Ursine Crush (standard; at-will) The cave bear deals 4d8 + 6 damage to a grabbed creature (no attack roll required). Alignment Unaligned Languages -- Str 23 (+11) Dex 16 (+8) Wis 18 (+9) Con 18 (+9) Int 2 (+1) Cha 16 (+8)","HP 276; Bloodied 138 ","22","Perception +9 ","8","23","27",""
"21","Large natural beast (reptile) XP 400 ","24","118","+5","Spiked Tail (standard; at-will) Reach 2; +13 vs. AC; 2d6 + 7 damage, and ongoing 5 damage (save ends). C Tail Sweep (standard; recharge    ) Close burst 1; +11 vs. Reflex; 1d8 + 7 damage, and the target is knocked prone if it is Medium size or smaller. C Bloodied Sweep (free, when first bloodied; encounter) Close burst 1; +13 vs. Fortitude; 1d8 + 7 damage, and ongoing 5 damage (save ends). Alignment Unaligned Languages -- Str 24 (+11) Dex 12 (+5) Wis 16 (+7) Con 18 (+8) Int 2 (+0) Cha 6 (+2)","HP 118; Bloodied 59; see also bloodied sweep ","18","Perception +7 ","5","20","28",""
"33","Large aberrant magical beast XP 12,000 ","30","900","+16","","HP 900; Bloodied 450 ","32","Perception +17; all-around vision, darkvision Eyes of the Beholder aura 5; at the start of each enemy's turn, if that foe is within the aura and in the eye tyrant's line of sight, the eye tyrant uses one random eye ray power against that creature. ",,"34","29",""
"25","Medium immortal humanoid XP 2,500 ","22","408","+13",", fly 8 Action Points 2Claw (standard; at-will) +14 vs. AC; 1d8 + 6 damage. Summon Duplicate (minor, not while bloodied; at-will)  Conjuration , Psychic The berbalang manifests an exact duplicate of itself in an unoccupied adjacent square. It can have no more than four duplicates at once, and duplicates cannot summon other duplicates. When a duplicate appears, it makes an initiative check and joins the battle on that initiative count. All damage a duplicate deals is treated as psychic damage. A duplicate has the same statistics as the berbalang except for its hit points. When the berbalang manifests a duplicate, the berbalang loses one-quarter of its current hit points and the duplicate appears with that quantity of hit points. The berbalang's maximum number of hit points remains the same. Duplicates last until the berbalang reaches 0 hit points, absorbs them, or uses sacrifice. A duplicate must stay within 10 squares of the berbalang at all times or it disappears. Absorb Duplicate (standard, at-will)  Healing The berbalang absorbs a duplicate adjacent to it and regains 50 hit points. Berbalang Sneak Attack A berbalang or a duplicate that flanks an enemy with another duplicate deals an extra 1d8 damage on melee attacks against that enemy. A Sacrifice (standard; at-will)  Psychic Area burst 1 centered on a duplicate; the berbalang can cause one of its duplicates to explode in a burst of psychic gore; +11 vs. Fortitude; 2d8 + 6 psychic damage, plus the target is dazed (save ends). Miss: No damage, but the target is dazed (save ends). Hit or Miss: The berbalang takes 25 damage. Psychic Deflection (immediate reaction, when the berbalang is damaged by an attack; at-will)  Psychic The berbalang can deflect the damage it takes from an attack to one of its duplicates. Any effects or secondary attacks included in the attack are also deflected to the duplicate. The damage a duplicate takes in this way is considered psychic damage. Alignment Evil Languages Supernal Str 16 (+8) Dex 22 (+11) Wis 13 (+6) Con 14 (+7) Int 14 (+7) Cha 15 (+7)","","25","Perception +6 AC 25; Fortitude 22, Reflex 25, Will 21; see also psychic deflection ","6","21","30",""
"27","Large fey beast XP 1,200 ","29","182","+9","Gore (standard; at-will) +18 vs. AC; 2d8 + 7 damage, or 3d8 + 7 damage while the thunderfury boar is bloodied. M Death Strike (when reduced to 0 hit points) The thunderfury boar makes a gore attack. C Thunderfury (standard; recharge   )  Thunder Close burst 2; +17 vs. Fortitude; 2d8 + 6 thunder damage, and the target is knocked prone. Miss: Half damage, and the target is not knocked prone. Thunderous Charge  Thunder The thunderfury boar deals an extra 10 thunder damage when it charges. Alignment Unaligned Languages -- Str 24 (+14) Dex 15 (+9) Wis 12 (+8) Con 22 (+13) Int 5 (+4) Cha 9 (+6)","HP 182; Bloodied 91 ","20","Perception +8 ","8","20","31",""
"30","Large shadow animate (undead) XP 1,000 ","24","136","+15","Claw (standard; at-will) Reach 3; +20 vs. AC; 1d12 + 6 damage. C Necrotic Pulse (free, when first bloodied; encounter)  Healing , Necrotic Close burst 10; undead allies in the burst regain 10 hit points, and enemies in the burst take 10 necrotic damage. Relentless Opportunist If the boneclaw hits with an opportunity attack, it can make another opportunity attack against the same target during the current turn. Threatening Reach The boneclaw can make opportunity attacks against all enemies within its reach (3 squares). Alignment Evil Languages Common Skills Intimidate +16, Stealth +18 Str 17 (+10) Dex 23 (+13) Wis 12 (+8) Con 16 (+10) Int 10 (+7) Cha 18 (+11)","HP 136; Bloodied 68; see also necrotic pulse ","27","Perception +13; darkvision ","8","25","32",""
"27","Large natural beast XP 800 ","26","204","+7",", burrow 6; see also earth furrow Action Points 1Bite (standard; at-will) Before it bites, the bulette can make a standing long jump (as a free action) without provoking opportunity attacks; +14 vs. AC; 2d6 + 7 damage, or 4d6 + 7 damage against a prone target. C Rising Burst (standard; at-will) Close burst 2; the bulette sprays rock and dirt into the air when it rises out of the ground; +13 vs. AC; 1d6 + 7 damage. M Earth Furrow (move; at-will) The bulette moves up to its burrow speed just below the surface of the ground, avoiding opportunity attacks as it passes underneath other creatures' squares. As it burrows beneath the space of a Medium or smaller creature on the ground, the bulette makes an attack against the creature: +8 vs. Fortitude; on a hit, the target is knocked prone. Ground Eruption The squares into which a bulette surfaces and the squares it leaves when it burrows underground become difficult terrain. Second Wind (standard; encounter)  Healing The bulette spends a healing surge and regains 51 hit points. It gains a +2 bonus to all defenses until the start of its next turn. Alignment Unaligned Languages -- Skills Athletics +16, Endurance +15 Str 24 (+11) Dex 13 (+5) Wis 12 (+5) Con 22 (+10) Int 2 (+0) Cha 8 (+3)","HP 204; Bloodied 102; see also second wind ","21","Perception +5; darkvision, tremorsense 20 ","6","21","33",""
